time,open,high,low,close,volume
1772201023,-1,2,3.0,1,60
1772202605,1,1,2.85,2,15
1772208003,-1,1,2.82,2,15
1772216104,1,1,2.62,2,15
1772423104,1,1,3.33,2,15
1772448303,1,1,3.24,2,15
1772460046,-1,1,2.54,2,15
1772460903,1,1,2.86,2,15
1772462709,1,1,3.05,2,15
1772474445,1,1,3.37,2,15
1772547302,1,1,3.56,2,15
1772549111,-1,1,2.71,2,15
1772595947,-1,1,3.56,2,15
1772633715,1,1,2.9,2,15
1772640046,-1,1,2.9,2,15
1772649948,1,1,4.36,2,15
