time,open,high,low,close,volume
1772203502,184.1778,184.07799999999997,184.1778,184.07799999999997,184.40894736937707
1772445648,184.1574,184.03,184.1574,184.03,184.5092876841192
1772462711,184.3762,184.232,184.3762,184.232,184.67873982317371
1772467265,184.4928,184.63400000000001,184.4928,184.63400000000001,184.17432390176134
1772469905,184.1456,184.26100000000002,184.1456,184.26100000000002,183.81515481482137
1772474447,184.1492,184.065,184.1492,184.065,184.46445306854838
1772475306,184.178,184.29100000000003,184.178,184.29100000000003,183.86040395616732
1772477102,184.0964,184.204,184.0964,184.204,183.7903490954963
1772548247,182.96959999999999,183.121,182.96959999999999,183.121,182.60904165178636
1772561762,182.9744,182.85,182.9744,182.85,183.39057562866319
1772593246,182.7004,182.594,182.7004,182.594,183.02447632581163
1772635508,183.001,183.11700000000002,183.001,183.11700000000002,182.69834487478428
