time,open,high,low,close,volume
1772201023,191.45,191.85,191.3,191.85,190.25
1772202605,210.0268,209.903,210.0268,209.903,210.3790482383111
1772208003,210.0802,210.21,210.0802,210.21,209.71421031309708
1772216104,210.0236,209.90099999999998,210.0236,209.90099999999998,210.34476714973115
1772423104,210.1556,210.03,210.1556,210.03,210.57414353103837
1772448303,210.0582,209.914,210.0582,209.914,210.52610235534266
1772460046,210.8932,211.068,210.8932,211.068,210.4492086385876
1772460903,210.8992,210.731,210.8992,210.731,211.38082689827075
1772462709,210.99859999999998,210.83399999999997,210.99859999999998,210.83399999999997,211.5009163670821
1772474445,211.0412,210.89999999999998,211.0412,210.89999999999998,211.51714545269516
1772547302,209.8832,209.75099999999998,209.8832,209.75099999999998,210.35347887541994
1772549111,210.039,210.221,210.039,210.221,209.54493839764484
1772595947,210.047,210.15400000000002,210.047,210.15400000000002,209.6664121252841
1772633715,210.208,210.06799999999998,210.208,210.06799999999998,210.61407876044416
1772640046,210.2906,210.44500000000002,210.2906,210.44500000000002,209.84328644859312
1772649948,209.784,209.695,209.784,209.695,210.17227584470325
